Datetime,AAPL,GOOG,MSFT
2024-12-03 14:30:00+00:00,239.19239807128906,172.9199981689453,429.239990234375
2024-12-03 14:31:00+00:00,239.13999938964844,173.7740936279297,429.5299987792969
2024-12-03 14:32:00+00:00,239.2899932861328,174.02450561523438,429.5867004394531
2024-12-03 14:33:00+00:00,239.27499389648438,173.5500030517578,429.92010498046875
2024-12-03 14:34:00+00:00,239.56500244140625,173.9600067138672,430.07000732421875
2024-12-03 14:35:00+00:00,239.46139526367188,173.77000427246094,429.32501220703125
2024-12-03 14:36:00+00:00,239.32000732421875,173.77999877929688,429.9682922363281
2024-12-03 14:37:00+00:00,239.00999450683594,173.88999938964844,430.04998779296875
2024-12-03 14:38:00+00:00,239.40499877929688,173.6999969482422,430.0950012207031
2024-12-03 14:39:00+00:00,239.3699951171875,173.47000122070312,429.5249938964844
2024-12-03 14:40:00+00:00,239.1820068359375,173.14999389648438,429.5050048828125
2024-12-03 14:41:00+00:00,239.30999755859375,173.5399932861328,429.0
2024-12-03 14:42:00+00:00,239.3800048828125,173.7550048828125,429.3900146484375
2024-12-03 14:43:00+00:00,239.6999969482422,173.32000732421875,429.3800048828125
2024-12-03 14:44:00+00:00,239.61500549316406,173.5800018310547,429.8500061035156
2024-12-03 14:45:00+00:00,239.78990173339844,173.75999450683594,430.07000732421875
2024-12-03 14:46:00+00:00,239.72000122070312,173.56979370117188,430.0249938964844
2024-12-03 14:47:00+00:00,239.83999633789062,173.52890014648438,429.8949890136719
2024-12-03 14:48:00+00:00,240.47000122070312,173.69200134277344,430.0
2024-12-03 14:49:00+00:00,240.58999633789062,173.42999267578125,429.489990234375
2024-12-03 14:50:00+00:00,240.35000610351562,173.29989624023438,429.0201110839844
2024-12-03 14:51:00+00:00,240.55020141601562,173.5,429.8900146484375
2024-12-03 14:52:00+00:00,240.4499969482422,173.28199768066406,429.57000732421875
2024-12-03 14:53:00+00:00,240.47999572753906,173.22000122070312,429.67999267578125
2024-12-03 14:54:00+00:00,240.69500732421875,173.22000122070312,429.6300048828125
2024-12-03 14:55:00+00:00,240.4949951171875,173.16000366210938,429.80999755859375
2024-12-03 14:56:00+00:00,240.52999877929688,173.1999969482422,430.260009765625
2024-12-03 14:57:00+00:00,240.60000610351562,173.00999450683594,430.0299987792969
2024-12-03 14:58:00+00:00,240.67999267578125,173.19000244140625,430.18499755859375
2024-12-03 14:59:00+00:00,240.88999938964844,173.27000427246094,431.2160949707031
2024-12-03 15:00:00+00:00,240.92999267578125,173.35519409179688,431.510009765625
2024-12-03 15:01:00+00:00,241.10000610351562,173.4149932861328,431.6754150390625
2024-12-03 15:02:00+00:00,240.85499572753906,173.52999877929688,432.1142883300781
2024-12-03 15:03:00+00:00,241.02000427246094,173.38999938964844,431.8254089355469
2024-12-03 15:04:00+00:00,240.7949981689453,173.4600067138672,431.6449890136719
2024-12-03 15:05:00+00:00,240.8000030517578,173.72999572753906,432.3900146484375
2024-12-03 15:06:00+00:00,240.7899932861328,173.69000244140625,432.1099853515625
2024-12-03 15:07:00+00:00,240.82000732421875,173.66000366210938,432.1600036621094
